cluster_id,marker_id,ID,logFC,AveExpr,t,p_val,p_adj,B,celltype,marker
CD4+ CM,CD19,CD4+ CM,-0.027581338349385445,0.05678523055555556,-1.2306474981483149,0.23518681466640312,0.914492901253085,-7.205108058066939,CD4+ CM,CD19
TCRgd+,CXCR5,TCRgd+,0.05248326187683765,0.008245555555555558,1.1967176140162805,0.24781574079061963,0.9522807118021563,-7.969039747970673,TCRgd+,CXCR5
CD8+ EM,CD95,CD8+ EM,-0.11451601390509576,1.5108794444444444,-1.184973464497648,0.25230558506423584,0.9587612232440962,-8.95477207140413,CD8+ EM,CD95
CD8+ EM,TCRab,CD8+ EM,0.10121735340639142,1.4013194444444446,1.1611385142545074,0.26160728795038607,0.9724966573807831,-8.982159056860606,CD8+ EM,TCRab
CD8+ TE,CD4,CD8+ TE,0.057731547313803686,0.1161699888888889,1.1628733542905227,0.2609216498105042,0.9724966573807831,-8.680006749283562,CD8+ TE,CD4
CD4+ EM,CD45RA,CD4+ EM,-0.04082775812965538,-0.03918657222222222,-1.0132883563116253,0.32510713446301787,0.9802488103269338,-9.26032644411081,CD4+ EM,CD45RA
CD4+ TE,CD45RA,CD4+ TE,-0.18404980406428342,2.087234666666667,-0.40886149607609007,0.6877383188310986,0.9802488103269338,-8.790851490640836,CD4+ TE,CD45RA
CD8+ EM,CD45RA,CD8+ EM,0.006538327496618693,-0.019823759444444446,0.10281082379332503,0.9193143795415701,0.9802488103269338,-9.663402890291895,CD8+ EM,CD45RA
CD8+ TE,CD45RA,CD8+ TE,0.3063944478423875,2.1237322222222224,0.35569282472499514,0.7264395120837244,0.9802488103269338,-9.30207656625056,CD8+ TE,CD45RA
CD4+ TFH,CD45RA,CD4+ TFH,-0.016533412487359025,-0.025870583333333332,-0.3921434322399656,0.6998176852490321,0.9802488103269338,-7.567537878640955,CD4+ TFH,CD45RA
TCRgd+,CD45RA,TCRgd+,0.04315494053887486,0.1336886111111111,0.7628105137642861,0.45601624316298617,0.9802488103269338,-8.393956693693273,TCRgd+,CD45RA
CD4+ EM,CD62L,CD4+ EM,0.03029672283634379,-0.37009894444444447,0.37852760615770326,0.7097173179532537,0.9802488103269338,-9.712551213621504,CD4+ EM,CD62L
CD4+ TE,CD62L,CD4+ TE,0.1325852239753518,0.008845333333333332,0.7153671283440979,0.4840779971176239,0.9802488103269338,-8.6120353484428,CD4+ TE,CD62L
CD8+ EM,CD62L,CD8+ EM,-0.03867384024753069,-0.2892511111111111,-0.6088892393844432,0.5506366577844926,0.9802488103269338,-9.474849385929591,CD8+ EM,CD62L
CD8+ TE,CD62L,CD8+ TE,0.034964088106008775,-0.23014794444444445,0.32922852303292816,0.7459984497246281,0.9802488103269338,-9.311605442518564,CD8+ TE,CD62L
CD4+ Th1,CD62L,CD4+ Th1,0.05756360953674792,-0.31263916666666663,0.4387377773063648,0.6663683304989325,0.9802488103269338,-7.646490669614745,CD4+ Th1,CD62L
TCRgd+,CD62L,TCRgd+,0.0880557803291024,-0.09019821666666666,1.0883126001466368,0.29162372138505405,0.9802488103269338,-8.090777477826942,TCRgd+,CD62L
CD4+ CM,CD16,CD4+ CM,0.03593821752889377,-0.17236788888888888,0.7965639151112288,0.4366718568126433,0.9802488103269338,-7.6428297880105065,CD4+ CM,CD16
CD4+ EM,CD16,CD4+ EM,0.008271246271636286,-0.1369392222222222,0.27170608206817126,0.7891152651773485,0.9802488103269338,-9.749086508262767,CD4+ EM,CD16
CD4+ Naive,CD16,CD4+ Naive,0.00910413661067699,-0.15104144144444445,0.16380319981046668,0.8718148806582966,0.9802488103269338,-7.675501213358842,CD4+ Naive,CD16
CD4+ TE,CD16,CD4+ TE,0.02489950055392696,-0.08484955555555555,0.6799200542048015,0.50569579894141925,0.9802488103269338,-8.637484190502565,CD4+ TE,CD16
CD8+ EM,CD16,CD8+ EM,-0.025593196383356307,-0.08897105,-0.8737225425504954,0.39442668018616234,0.9802488103269338,-9.273695418045117,CD8+ EM,CD16
CD8+ TE,CD16,CD8+ TE,0.01915200012402253,-0.1107151938888889,0.5755909403613021,0.5724216816436294,0.9802488103269338,-9.195113348490365,CD8+ TE,CD16
CD4+ Th1,CD16,CD4+ Th1,-0.011280918008802756,-0.12409516666666666,-0.26769854683431504,0.7921474549641637,0.9802488103269338,-7.709844316062653,CD4+ Th1,CD16
CD4+ Naive,CCR4,CD4+ Naive,0.010140715013539648,-0.04608813333333333,0.38241841781290425,0.7068828813165362,0.9802488103269338,-7.612737269286472,CD4+ Naive,CCR4
CD4+ TE,CCR4,CD4+ TE,0.011034022245924898,-0.044376733333333335,0.497820406372068,0.6249793193086504,0.9802488103269338,-8.748676191056223,CD4+ TE,CCR4
CD8+ EM,CCR4,CD8+ EM,-0.004619562845743581,-0.05724755555555556,-0.5761703420218413,0.5720388258852982,0.9802488103269338,-9.494959186297601,CD8+ EM,CCR4
CD8+ TE,CCR4,CD8+ TE,0.0018269781512927916,-0.05697797222222222,0.10559052324592558,0.917141333915706,0.9802488103269338,-9.362898638538525,CD8+ TE,CCR4
CD4+ Th1,CCR4,CD4+ Th1,-0.0067450449881974,-0.1123326111111111,-0.2641104337005813,0.7948652137251986,0.9802488103269338,-7.710848427393414,CD4+ Th1,CCR4
TCRgd+,CCR4,TCRgd+,0.0073492396673965335,-0.04492391666666667,0.8981970969409732,0.3816074821185347,0.9802488103269338,-8.279609004486307,TCRgd+,CCR4
CD4+ CM,LAG3,CD4+ CM,-0.010120166147266563,0.0019633250000000006,-0.46059195666180697,0.6509199737157163,0.9802488103269338,-7.860743823238841,CD4+ CM,LAG3
CD4+ EM,LAG3,CD4+ EM,-0.0026533826975158256,0.005439680555555555,-0.13032153436192884,0.8978394600613583,0.9802488103269338,-9.77909510431,CD4+ EM,LAG3
CD4+ TE,LAG3,CD4+ TE,-0.00292673938819466,0.019981377777777778,-0.31789025617760236,0.7544340550360765,0.9802488103269338,-8.825569710044203,CD4+ TE,LAG3
CD8+ EM,LAG3,CD8+ EM,-0.001652274452943195,-0.0152371,-0.13520997810658728,0.8940315522245394,0.9802488103269338,-9.65932419488292,CD8+ EM,LAG3
CD8+ TE,LAG3,CD8+ TE,0.008987892551027592,0.002186236111111111,0.4256625233196368,0.6756859107886619,0.9802488103269338,-9.273396624696268,CD8+ TE,LAG3
CD4+ TFH,LAG3,CD4+ TFH,0.0032139372768623703,0.011266901111111113,0.14516565770298193,0.8862847927870785,0.9802488103269338,-7.63727172888079,CD4+ TFH,LAG3
TCRgd+,LAG3,TCRgd+,0.002630312838234334,0.0042210377777777775,0.30885182612401213,0.761181609609324,0.9802488103269338,-8.646412683212793,TCRgd+,LAG3
CD4+ Naive,CCR7,CD4+ Naive,0.016385709477756215,1.0518,0.3544797652650745,0.7273319294694398,0.9802488103269338,-7.623527167360827,CD4+ Naive,CCR7
CD4+ TE,CCR7,CD4+ TE,-0.007607948691347564,0.23245505555555557,-0.15699443389482917,0.8770959725731572,0.9802488103269338,-8.865860706135932,CD4+ TE,CCR7
CD8+ EM,CCR7,CD8+ EM,-0.014103087465278184,-0.026822083333333333,-0.5762420376518603,0.5719914602290619,0.9802488103269338,-9.494916286709406,CD8+ EM,CCR7
CD8+ TE,CCR7,CD8+ TE,-0.015988506981682273,0.034451777777777776,-0.497813573530777,0.6249840356365224,0.9802488103269338,-9.23856630198112,CD8+ TE,CCR7
TCRgd+,CCR7,TCRgd+,-0.005366631777272673,0.023349916666666665,-0.33048764711640355,0.7450636901436325,0.9802488103269338,-8.639135874361424,TCRgd+,CCR7
CD4+ CM,CD56,CD4+ CM,0.006044818710787008,0.04378345555555556,0.28586087437383384,0.7784335925613726,0.9802488103269338,-7.9291175430526994,CD4+ CM,CD56
CD4+ EM,CD56,CD4+ EM,-0.0016966613219644695,0.010340846944444444,-0.24259713950315104,0.8112159049858867,0.9802488103269338,-9.756980576146397,CD4+ EM,CD56
CD4+ Naive,CD56,CD4+ Naive,0.010401511704061896,0.046998323333333335,0.4821877838399034,0.6358131095098084,0.9802488103269338,-7.567669285121478,CD4+ Naive,CD56
CD4+ TE,CD56,CD4+ TE,-0.005502769146403983,0.024149609722222222,-0.7980952820339047,0.435806585757875,0.9802488103269338,-8.54793066936966,CD4+ TE,CD56
CD8+ TE,CD56,CD8+ TE,0.01830296192831119,0.08541575,0.6111452312616492,0.5491769215319158,0.9802488103269338,-9.173231963539445,CD8+ TE,CD56
CD4+ Th1,CD56,CD4+ Th1,-0.013190300571073788,0.01619045,-0.8240016387956188,0.4213325727093672,0.9802488103269338,-7.395840478107479,CD4+ Th1,CD56
CD4+ TFH,CD56,CD4+ TFH,0.01006228426062597,0.02637877222222222,0.5405977177225405,0.5957872111122835,0.9802488103269338,-7.495347299583939,CD4+ TFH,CD56
CD4+ EM,TNFa,CD4+ EM,-0.04707502143094523,0.2961405555555556,-1.0550516673658634,0.3061444490754685,0.9802488103269338,-9.217304352499264,CD4+ EM,TNFa
CD8+ EM,TNFa,CD8+ EM,0.02306081540063021,0.38250527777777776,0.4005332244738581,0.6937451729181293,0.9802488103269338,-9.584472513342092,CD8+ EM,TNFa
CD8+ TE,TNFa,CD8+ TE,0.006128165868672935,0.38239805555555556,0.16761214930711163,0.8688632383172268,0.9802488103269338,-9.353939744790608,CD8+ TE,TNFa
CD4+ Th1,TNFa,CD4+ Th1,-0.05752908888219529,0.29680844444444443,-1.0819447683779657,0.294364028811007,0.9802488103269338,-7.149457700222491,CD4+ Th1,TNFa
CD4+ Naive,CXCR2,CD4+ Naive,-0.032127344448742746,0.004420694444444444,-0.40593724736981535,0.6898450436424586,0.9802488103269338,-7.603031131884071,CD4+ Naive,CXCR2
CD4+ TE,CXCR2,CD4+ TE,-0.047764759464332354,-0.07608173166666667,-0.5613013517539089,0.581905686230195,0.9802488103269338,-8.713670158328783,CD4+ TE,CXCR2
CD8+ TE,CXCR2,CD8+ TE,-0.09337748547717054,-0.18522897222222223,-0.6803311813975178,0.5054419262064332,0.9802488103269338,-9.127069075955054,CD8+ TE,CXCR2
CD4+ CM,TCRab,CD4+ CM,0.04310615598055427,2.11155,0.5493195696165156,0.5899192550856605,0.9802488103269338,-7.814069191243172,CD4+ CM,TCRab
CD4+ TE,TCRab,CD4+ TE,0.017362757144257595,1.8602472222222222,0.2938999341502448,0.7723871564848146,0.9802488103269338,-8.833295254409386,CD4+ TE,TCRab
CD8+ TE,TCRab,CD8+ TE,-0.04395618132994409,1.4553944444444444,-0.48846827521487685,0.63145017128624,0.9802488103269338,-9.24337647020548,CD8+ TE,TCRab
CD4+ Th1,TCRab,CD4+ Th1,0.05400747959133506,2.1862166666666667,0.5796960912940465,0.5697119527833976,0.9802488103269338,-7.571796333297282,CD4+ Th1,TCRab
CD4+ CM,CD107a,CD4+ CM,-0.19841348928636937,-0.13549955555555557,-1.1156309410600822,0.2800798069267065,0.9802488103269338,-7.3370916663871055,CD4+ CM,CD107a
CD8+ EM,CD107a,CD8+ EM,-0.1367755915561333,-0.2482506111111111,-0.5409007190920978,0.5955828696512785,0.9802488103269338,-9.515439120252001,CD8+ EM,CD107a
CD8+ TE,CD107a,CD8+ TE,-0.048347881473192134,-0.34978305555555556,-0.21317205191067917,0.833724473422307,0.9802488103269338,-9.344776457268935,CD8+ TE,CD107a
CD4+ TFH,CD107a,CD4+ TFH,-0.02168586878762716,-0.16743125,-0.13448971781230745,0.8945924421372942,0.9802488103269338,-7.638846863756662,CD4+ TFH,CD107a
TCRgd+,CD107a,TCRgd+,-0.09968206340957146,-0.2308013888888889,-0.8295453385125199,0.4182756202569202,0.9802488103269338,-8.339741043876025,TCRgd+,CD107a
CD4+ CM,CD45RO,CD4+ CM,-0.023330010548523156,2.436558333333333,-0.12973294586990525,0.8982981226298341,0.9802488103269338,-7.96332686890396,CD4+ CM,CD45RO
CD4+ EM,CD45RO,CD4+ EM,-0.023585042822206595,2.3810277777777777,-0.10340591407154558,0.9188491084974335,0.9802488103269338,-9.782422507129636,CD4+ EM,CD45RO
CD4+ Naive,CD45RO,CD4+ Naive,-0.047174344355899456,0.12207236666666667,-0.6333869842349025,0.5348976407447039,0.9802488103269338,-7.480192522532289,CD4+ Naive,CD45RO
CD8+ EM,CD45RO,CD8+ EM,-0.05487576542608148,2.080602777777778,-0.17546927572678067,0.8627809096679041,0.9802488103269338,-9.652712793174299,CD8+ EM,CD45RO
CD8+ TE,CD45RO,CD8+ TE,-0.11140875172708867,0.3057223333333333,-1.0531505635826013,0.3069899460130857,0.9802488103269338,-8.800037183854917,CD8+ TE,CD45RO
CD4+ Th1,CD45RO,CD4+ Th1,-0.1451458174838331,2.433962222222222,-0.45129132846128617,0.657475000514785,0.9802488103269338,-7.6406548562990615,CD4+ Th1,CD45RO
CD4+ TFH,CD45RO,CD4+ TFH,-0.1580841483094429,2.563972222222222,-0.7567761879102218,0.45952923103680166,0.9802488103269338,-7.35088416943209,CD4+ TFH,CD45RO
TCRgd+,CD45RO,TCRgd+,-0.1716034789273222,1.5848808333333333,-0.6332523921354868,0.53498343209167,0.9802488103269338,-8.486992508989013,TCRgd+,CD45RO
CD4+ EM,KLRG1,CD4+ EM,-0.027491720782577764,0.35738094444444446,-0.2540870405257837,0.8024715607885688,0.9802488103269338,-9.753970555390563,CD4+ EM,KLRG1
CD4+ TE,KLRG1,CD4+ TE,-0.014483885573431075,0.1864258888888889,-0.33598475472819594,0.7409875089477364,0.9802488103269338,-8.819346770153825,CD4+ TE,KLRG1
CD8+ EM,KLRG1,CD8+ EM,-0.016706939009323022,0.368965,-0.11981833635780133,0.9060296028464334,0.9802488103269338,-9.661400053524666,CD8+ EM,KLRG1
CD8+ TE,KLRG1,CD8+ TE,-0.012489139290409552,0.15185411666666668,-0.11564789197327745,0.9092846942807091,0.9802488103269338,-9.361721686558864,CD8+ TE,KLRG1
CD4+ Th1,KLRG1,CD4+ Th1,-0.01738851150753644,0.3998058611111111,-0.21961674942572856,0.8287811656794307,0.9802488103269338,-7.722181749957175,CD4+ Th1,KLRG1
CD4+ TFH,KLRG1,CD4+ TFH,-0.07679242073595291,0.3322655888888889,-1.0260104999158515,0.31924418380375275,0.9802488103269338,-7.108922096180805,CD4+ TFH,KLRG1
CD4+ Naive,TIM3,CD4+ Naive,0.004764815852998059,0.05930643055555555,0.11837434826109852,0.9071564644900499,0.9802488103269338,-7.682265127979879,CD4+ Naive,TIM3
CD4+ TE,TIM3,CD4+ TE,-0.009273915708147389,0.07205753888888888,-0.2684820773255207,0.79155434712163,0.9802488103269338,-8.840825836851407,CD4+ TE,TIM3
