"sample","cell_type","marker","p_value","control_mean","KO_mean","p_adj"
"CD52KO_BC0610","CD8 T","CD39",0.696125986224004,1.49361983008037,1.61265859310214,0.889754534598666
"CD52KO_BC9507","CD4 T","CD4",0.698535358303339,5.388714483546,5.52335828493997,0.889754534598666
"CD52KO_BC0610","CD4 T","TNFa",0.716859436196129,0.741165434317623,0.835635399506813,0.903005256644847
"CD52KO_BC8599","CD4 T","CXCR3",0.716859436196129,0.503983411536901,0.566538405746522,0.903005256644847
"CD52KO_BC9507","CD8 T","CD4",0.728126128172033,1.04913950997795,1.47764317442948,0.912158006721008
"CD52KO_BC0610","CD4 T","CD107a",0.766679360368738,-0.206246493182906,0.0706980678614871,0.921620131430196
"CD52KO_BC0610","CD4 T","CD4",0.766679360368738,5.24952799731559,5.32856939154764,0.921620131430196
"CD52KO_BC0610","CD4 T","CXCR5",0.766679360368738,-0.581821796162237,-0.570328184232563,0.921620131430196
"CD52KO_BC0610","CD8 T","CCR7",0.765199540861796,-0.302294795245257,-0.257961754188259,0.921620131430196
"CD52KO_BC8599","CD4 T","CD16",0.766615372113511,-0.82331162100762,-0.809270105518517,0.921620131430196
"CD52KO_BC8599","CD8 T","CD16",0.757532411566945,-0.602180724565786,-0.5811915396361,0.921620131430196
"CD52KO_BC9507","CD8 T","CD3",0.772058969750735,4.40419146654173,4.19983960569338,0.921620131430196
"CD52KO_BC9507","CD8 T","CD40L",0.772058969750735,0.844999807894534,0.817698532301134,0.921620131430196
"CD52KO_BC9507","CD8 T","CD56",0.772058969750735,0.417544977565163,0.426967777725736,0.921620131430196
"CD52KO_BC8599","CD8 T","PD.1",0.787136510451117,0.123725169503334,-0.0490077189994277,0.934724606160701
"CD52KO_BC0610","CD4 T","CCR6",0.817483260070625,0.1421079177427,0.00958158063764446,0.947034016282614
"CD52KO_BC0610","CD4 T","LAG3",0.817483260070625,-0.196924198473126,-0.215579701294781,0.947034016282614
"CD52KO_BC0610","CD8 T","IFNg",0.818270619331908,0.687068010399002,0.768938802857132,0.947034016282614
"CD52KO_BC8599","CD4 T","41BB",0.817483260070625,0.661588332940124,0.603493623575807,0.947034016282614
"CD52KO_BC9507","CD4 T","CXCR1",0.805324170618248,0.294092468961811,0.242365495224721,0.947034016282614
"CD52KO_BC0610","CD8 T","CD127",0.836193734822461,0.591912627747488,0.577270686502645,0.962889755250107
"CD52KO_BC8599","CD8 T","CD45RA",0.847053584974372,1.53752052710436,1.61886202165326,0.965641086870784
"CD52KO_BC8599","CD8 T","TCRgd",0.847053584974372,0.755091913539639,0.655488899048546,0.965641086870784
"CD52KO_BC8599","CD4 T","CD45RA",0.869065890488039,0.676459901719581,0.279220402611443,0.971308936427808
"CD52KO_BC8599","CD4 T","CD8",0.869065890488039,2.42048342100527,2.41847645766098,0.971308936427808
"CD52KO_BC8599","CD4 T","CXCR1",0.869029242582864,-0.129724149040427,-0.0971528387767487,0.971308936427808
"CD52KO_BC8599","CD4 T","KLRG1",0.869065890488039,1.27406643101049,1.30612585584785,0.971308936427808
"CD52KO_BC0610","CD8 T","CD14",0.890349557470918,0.475582649782517,0.501617642816219,0.990242434650582
"CD52KO_BC0610","CD4 T","CD127",0.921212054584736,1.50016463703669,1.53889859033495,0.990737492666603
"CD52KO_BC0610","CD8 T","41BB",0.908548798170922,0.646107288006472,0.65174349361359,0.990737492666603
"CD52KO_BC0610","CD8 T","CXCR3",0.908548798170922,0.56041296207622,0.565218687355631,0.990737492666603
"CD52KO_BC8599","CD4 T","CD95",0.921212054584736,3.28926588386638,3.34026350798932,0.990737492666603
"CD52KO_BC8599","CD4 T","PD.1",0.921212054584736,1.41734921595924,1.28090882349405,0.990737492666603
"CD52KO_BC9507","CD4 T","CD25",0.915878445665947,2.82234572290068,2.7733007552618,0.990737492666603
"CD52KO_BC9507","CD4 T","PD.1",0.915878445665947,0.902867437331447,1.03627945154648,0.990737492666603
"CD52KO_BC0610","CD8 T","CD19",0.926771185074787,0.79069619259785,0.539977327260558,0.992036761488504
"CD52KO_BC8599","CD8 T","CD62L",0.938479798403673,-0.724920718784321,-0.733811710895761,0.999875673065596
"CD52KO_BC0610","CD4 T","CCR10",0.973699289736846,0.110357754769102,0.22726540817385,1
"CD52KO_BC0610","CD4 T","CD40L",1,0.0449603558871938,0.0457635688686281,1
"CD52KO_BC0610","CD8 T","CD56",0.963346938801753,-0.346632817985964,-0.299771836218467,1
"CD52KO_BC8599","CD4 T","CCR7",0.973699289736846,0.200903677737693,0.0247586071513429,1
"CD52KO_BC8599","CD4 T","CD19",0.973699289736846,0.864110785473453,0.847481595278422,1
"CD52KO_BC8599","CD4 T","CD62L",1,-0.664611516395105,-0.749756423626537,1
"CD52KO_BC8599","CD4 T","OX40",1,0.126787963464067,0.0129895852466104,1
"CD52KO_BC8599","CD4 T","TIGIT",0.973699289736846,0.270473691932593,-0.1157938640882,1
"CD52KO_BC8599","CD4 T","TIM3",0.973699289736846,0.937716335100878,0.934214277758205,1
"CD52KO_BC8599","CD8 T","CCR10",1,-0.187731696199583,0.0495126417485819,1
"CD52KO_BC8599","CD8 T","CD40L",1,-0.110800019220482,-0.61912705724118,1
"CD52KO_BC8599","CD8 T","CXCR1",0.969228566839338,0.140483434979589,0.129215556720741,1
"CD52KO_BC8599","CD8 T","CXCR5",1,0.400928023367687,0.419896513677526,1
"CD52KO_BC9507","CD4 T","TCRgd",0.971913133953306,1.91059614257989,1.91412466782364,1
